tombamento;descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
6784;BALANÇA COMERCIAL ELETRÔNICA;;0;202,5;0;20,19
12277;TRENA A LASER;;28;1728;11,38;558,78
13348;BALANÇA COMERCIAL ELETRÔNICA;;39;930;5,81;346,5
18898;TERMOGRAFO TERMOVISOR COMPACTO;;79;4895;24,47;2422,97
18901;WATTIMETRO DIGITAL PORTÁTIL;;79;1010;5,05;499,95
20934;BALANÇA COMERCIAL ELETRÔNICA;;104;1082,1;4,81;716,54
35408;CALIBRADOR DE PNEUS;;165;298;1,49;275,65
35409;CALIBRADOR DE PNEUS;;165;298;1,49;275,65
35686;APARELHO GPS - OREGON 700;;165;1790;8,95;1655,75
35687;APARELHO GPS - OREGON 700;;165;1790;8,95;1655,75
35688;APARELHO GPS - OREGON 700;;165;1790;8,95;1655,75
35689;APARELHO GPS - OREGON 700;;165;1790;8,95;1655,75
202416;LUXÍMETRO DIGITAL;;51;286,4;1,69;120,23
202463;DECIBELÍMETRO DIGITAL;;51;229,62;1,35;96,16
5317;APARELHO TELEFONICO KS COM TECLADO;;0;33,6;0;33,6
5637;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5638;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5639;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5640;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5641;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5642;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5643;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5645;APARELHO TELEFONICO KS COM TECLADO;;0;72;0;72
5985;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5986;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5991;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5992;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5993;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5994;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5995;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5996;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5997;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
5999;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6001;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6002;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6003;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6004;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6005;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6006;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6008;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6009;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6010;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6011;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6013;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6015;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6017;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6018;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6019;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6021;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6022;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6023;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6024;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6026;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6027;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6028;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6029;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6030;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
6034;APARELHO TELEFONICO KS COM TECLADO;;0;52,8;0;52,8
7659;APARELHO TELEFONICO KS COM TECLADO;;0;62;0;62
8139;APARELHO TELEFONICO KS COM TECLADO;;0;170,71;0;34,14
8579;APARELHO TELEFONICO SIMPLES COM TECLADO;;0;12,74;0;2,55
8589;APARELHO TELEFONICO SIMPLES COM TECLADO;;0;12,74;0;2,55
8660;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8661;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8663;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8664;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8665;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8666;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
8667;APARELHO TELEFONICO KS COM TECLADO;;0;436,8;0;87,36
9350;APARELHO TELEFONICO SIMPLES COM TECLADO;;0;11,78;0;2,39
9700;APARELHO TELEFONICO KS COM TECLADO;;0;335,45;0;67,13
10155;APARELHO TELEFONICO KS COM TECLADO;;0;529,66;0;106,01
10158;APARELHO TELEFONICO KS COM TECLADO;;0;529,66;0;106,01
10159;APARELHO TELEFONICO KS COM TECLADO;;0;529,66;0;106,01
10229;APARELHO TELEFONICO KS COM TECLADO;;0;495,43;0;99,04
10230;APARELHO TELEFONICO KS COM TECLADO;;0;495,43;0;99,04
10231;APARELHO TELEFONICO KS COM TECLADO;;0;495,43;0;99,04
10460;APARELHO TELEFONICO KS COM TECLADO;;0;515,79;0;103,16
10461;APARELHO TELEFONICO KS COM TECLADO;;0;515,79;0;103,16
10462;APARELHO TELEFONICO KS COM TECLADO;;0;515,79;0;103,16
10578;APARELHO TELEFONICO SIMPLES COM TECLADO;;0;18,99;0;4,19
10583;APARELHO TELEFONICO SIMPLES COM TECLADO;;0;18,99;0;4,19
11073;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11074;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11076;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11077;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11078;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11079;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11080;FAC-SÍMILE ELETRÔNICO;;0;525,67;0;105,26
11106;APARELHO TELEFONICO KS COM TECLADO;;0;603,13;0;120,74
11615;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11616;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11617;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11618;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11619;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11621;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11622;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11623;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11624;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11625;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11626;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11628;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11629;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11630;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11631;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11632;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11633;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11634;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11635;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11638;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11639;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11640;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11641;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11642;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11643;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11644;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11645;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11647;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11648;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11649;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11651;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11652;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11653;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11654;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11656;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11657;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
11658;APARELHO TELEFONICO KS COM TECLADO;;0;557,33;0;111,38
