patrimonio;Descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
636;APARELHO TELEFONICO KS COM TECLADO;13/06/2017;0;0,01;0;0,01
1051;APARELHO TELEFONICO KS COM TECLADO;13/06/2017;0;0,01;0;0,01
5250;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;33,6;0;33,6
5253;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;33,6;0;33,6
5263;APARELHO TELEFONICO KS COM TECLADO;13/06/2017;0;336;0;336
5266;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;33,6;0;33,6
5267;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;33,6;0;33,6
5286;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;33,6;0;33,6
5287;APARELHO TELEFONICO KS COM TECLADO;13/06/2017;0;336;0;336
5293;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;33,6;0;33,6
5308;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;33,6;0;33,6
5644;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;72;0;72
5646;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;72;0;72
5987;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
5988;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;52,8;0;52,8
5989;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
5990;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6000;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;52,8;0;52,8
6012;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6014;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6016;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6025;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6031;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
6033;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;52,8;0;52,8
7658;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;62;0;62
8140;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;170,71;136,57;34,14
8581;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;39;10,19;28,81
8583;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;12,74;10,19;2,55
8588;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;39;10,19;28,81
8592;APARELHO TELEFONICO SIMPLES COM TECLADO;17/12/2019;0;12,74;10,19;2,55
8594;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;12,74;10,19;2,55
8596;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;12,74;10,19;2,55
8597;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;39;10,19;28,81
8662;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;436,8;349,44;87,36
9342;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;28,5;9,39;19,11
9345;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;11,78;9,39;2,39
9373;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;11,78;9,39;2,39
9377;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;11,78;9,39;2,39
10156;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;529,66;423,65;106,01
10157;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;529,66;423,65;106,01
10235;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;576,7;461,37;115,33
10413;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;607,5;486;121,5
10414;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;607,5;486;121,5
10415;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;607,5;486;121,5
10417;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;607,5;486;121,5
10418;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;1215;486;729
10421;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;607,5;486;121,5
10550;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10552;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;37;14,8;22,2
10555;APARELHO TELEFONICO SIMPLES COM TECLADO;17/12/2019;0;18,99;14,8;4,19
10559;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10573;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10576;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10577;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10580;APARELHO TELEFONICO SIMPLES COM TECLADO;17/12/2019;0;18,99;14,8;4,19
10585;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;0;18,99;14,8;4,19
10589;APARELHO TELEFONICO SIMPLES COM TECLADO;13/06/2017;0;37;14,8;22,2
11075;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;603,13;482,39;120,74
11086;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;525,67;420,41;105,26
11094;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;525,67;420,41;105,26
11620;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11627;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11636;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;557,33;445,95;111,38
11637;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11646;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;557,33;445,95;111,38
11650;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11655;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11661;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11664;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11667;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11669;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;557,33;445,95;111,38
11671;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;572,59;458,14;114,45
11679;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;561,44;449,02;112,42
11784;TRANSCEPTOR DE UHF;09/01/2019;0;723,87;579,26;144,61
11785;TRANSCEPTOR DE UHF;09/01/2019;0;723,87;579,26;144,61
11819;APARELHO TELEFONICO SEM FIO;09/01/2019;0;255,13;204,12;51,01
12369;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;899;423,38;475,62
12370;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;899;423,38;475,62
12373;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;899;423,38;475,62
12374;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;581,35;458,08;123,27
12375;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;581,35;458,08;123,27
12376;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;581,35;458,08;123,27
12384;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12385;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12393;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12409;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12420;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12431;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;0;446,21;351,73;94,48
12656;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;0;558,28;409,28;149
13979;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;759,99;335,52;424,47
13981;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;577,59;425,59;152
13982;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;759,99;335,52;424,47
13983;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;759,99;335,52;424,47
13984;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;759,99;335,52;424,47
13986;FAC-SÍMILE ELETRÔNICO;17/12/2019;0;577,59;425,59;152
