id;descricao;estado;vidaUtil;valorResidual;valorAtual;depreciacao;depreAcumulada;valorAtual
15;MESA PARA TELEFONE EM MADEIRA;Bom;0;0;5,17;0;0;5,17
16;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;0;13,7;0;0;13,7
22;RELOGIO DE PAREDE;Bom;0;0;0,01;0;0;0,01
24;SOFA EM TECIDO PARA 02 LUGARES;Bom;0;0,01;60;0;0;60
41;MESA PARA TELEFONE EM MADEIRA;Bom;0;0;0,04;0;0;0,04
45;ARMARIO BAIXO EM MADEIRA 03 PORTAS;Bom;0;0,01;0,13;0;0;0,13
79;ARQUIVO EM AÇO COM RODÍZIOS;Bom;0;0;31,07;0;0;31,07
176;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0;0,02;0;0;0,02
178;MESA PARA TELEFONE EM MADEIRA;Bom;0;0;0,01;0;0;0,01
216;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0;0,02;0;0;0,02
279;MESA PARA TELEFONE EM MADEIRA;Bom;0;0;0,01;0;0;0,01
302;COLUNA .;Bom;0;0;0,01;0;0;0,01
313;ABAJOUR DE COLUNA;Bom;0;0;73,4;0;0;73,4
373;SOFÁ EM COURVIN PARA 02 LUGARES;Bom;0;0,01;0,11;0;0;0,11
409;MESA PARA ESCRITORIO EM MADEIRA COM 06 GAVETAS;Bom;0;0,01;0,09;0;0;0,09
519;SOFÁ EM COURVIN PARA 03 LUGARES;Bom;0;0,01;0,14;0;0;0,14
672;MESA PARA ESCRITORIO EM MADEIRA COM 06 GAVETAS;Bom;0;0,01;0,09;0;0;0,09
683;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;0;3,99;0;0;3,99
703;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0;0,02;0;0;0,02
710;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0;0,02;0;0;0,02
742;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0;0,02;0;0;0,02
790;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;10,4;0;0;10,4
929;APARELHO DE MEDIR PRESSÃO;Bom;0;0,02;3,2;0;0;3,2
1055;SOFÁ EM COURVIN PARA 03 LUGARES;Bom;0;0;0,01;0;0;0,01
1137;ESTANTE EM MADEIRA 04 PRATELEIRAS;Bom;0;0,01;0,1;0;0;0,1
1226;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;0;0,01;0;0;0,01
1234;CINZEIRO DE PEDESTAL;Bom;0;0;9,2;0;0;9,2
1381;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;0;0,01;0;0;0,01
1547;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
1548;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
1549;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
1608;CESTO PARA LIXO EM PAPELÃO E METAL;Bom;0;0;0,01;0;0;0,01
1727;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0,11;1,13;0;0;1,13
1729;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;0,11;1,13;0;0;1,13
1994;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,02;0;0;0,02
2175;SUPORTE PARA MICROFONE DE COLUNA;Bom;0;0;0,01;0;0;0,01
2191;BALANÇA ANTROPOMÉTRICA;Bom;0;0;41,21;0;0;41,21
2196;SUPORTE PARA BRAÇO;Bom;0;0;4,4;0;0;4,4
2197;SUPORTE PARA BRAÇO;Bom;0;0;4,4;0;0;4,4
2199;MACA HOSPITALAR;Bom;0;0;35,99;0;0;35,99
2200;ESCADA EM AÇO COM 02 DEGRAUS;Bom;0;0;5,5;0;0;5,5
2201;ESCADA EM AÇO COM 02 DEGRAUS;Bom;0;0;5,5;0;0;5,5
2204;MACA HOSPITALAR;Bom;0;0;35,99;0;0;35,99
2212;APARELHO AMALGAMADOR;Bom;0;0,01;7,61;0;0;7,61
2221;MACA HOSPITALAR;Bom;0;0;35,99;0;0;35,99
2222;SUPORTE PARA SORO SEM RODAS;Bom;0;0,01;18;0;0;18
2223;SUPORTE PARA SORO SEM RODAS;Bom;0;0,01;18;0;0;18
2629;CADEIRA GIRATÓRIA EM COURVIN;Bom;0;0,03;29,3;0;0;29,3
2748;JOGO DE CHAVES SOQUETE;Bom;0;0,03;0,27;0;0;0,27
2749;TORNO DE BANCADA PARA MADEIRA;Bom;0;0,03;0,27;0;0;0,27
2754;LIXADEIRA PORTÁTIL;Bom;0;0,13;1,34;0;0;1,34
2825;MESA PARA TELEFONE EM MADEIRA;Bom;0;0,03;0,29;0;0;0,29
2834;QUADRO DE AVISO EM CORTIÇA;Bom;0;0,05;1,79;0;0;1,79
3230;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;0,01;0,05;0;0;0,05
3253;CANETA ALTA ROTAÇÃO;Bom;0;0,65;35;0;0;35
3356;TRENA DE FIBRA;Bom;0;0,27;2,65;0;0;2,65
3357;COMPRESSOR DE AR;Bom;0;2,04;20,36;0;0;20,36
3481;MICROFONE COM FIO;Bom;0;0,33;3,25;0;0;3,25
3488;MICROFONE COM FIO;Bom;0;0,33;3,25;0;0;3,25
3514;MASTRO PARA BANDEIRA EM MADEIRA;Bom;0;0;0,01;0;0;0,01
3618;MESA DE USO DIVERSO EM MADEIRA;Bom;0;0;0,01;0;0;0,01
3628;MESA DE USO DIVERSO EM MADEIRA;Bom;0;0;0,01;0;0;0,01
