id;responsavel;cedente;sala;nivel1;nivel2;nivelSuperior;tombamento;dataMovimentacao;interna;retorno;inventario;responsavelCadastro;dataConfirmacaoRecebimento;descricaoBem
11712;AACF;AACF;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;15205;2017-11-06;S;N;NA;RVGB;2017/11/06 16:05:00;POLTRONA GIRATÓRIA EM COURVIN
11706;AACF;GSM;SL. Nº 807;CONFORMIDADE DE GESTÃO - DA;NA;CNC, 08º ANDAR;24864;2017-11-06;S;N;NA;RVGB;2017/11/06 15:45:00;POLTRONA GIRATÓRIA, C/BRAÇOS, RECLINÁVEL, TECIDO PRETO
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;5993;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;APARELHO TELEFONICO KS COM TECLADO
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;11295;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;FRAGMENTADORA DE PAPEL
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;15121;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;MONITOR DE VÍDEO LCD
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;19397;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;MICROCOMPUTADOR INTEL
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;21233;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;MONITOR DE VÍDEO LCD
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;21866;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;CALCULADORA DE MESA COM DISPLAY
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;24532;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;CADEIRAS GIRATÓRIAS SEM BRAÇO
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;24967;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;POLTRONA GIRATÓRIA, C/BRAÇOS, RECLINÁVEL, TECIDO PRETO
