responsavel;ano;bensMovimentados
AACF;2017;  9
AACF;2018;  3
AACF;2019; 25
AACM;2020;  7
AACSF;2018;  8
AAMCP;2019;  6
AAMCP;2020;  1
AAS;2018;  1
AAS;2020;  6
AASJ;2018;  1
ABB;2019; 61
ABB;2020;  5
ABMF;2019;  2
AC;2018;  4
AC;2019;  3
ACBL;2019;  1
ACFC;2019;  4
ACFC;2020;  1
ACM;2019;  3
ACMAV;2018;  3
ACMAV;2019;  2
ACRO;2019;  4
ACS;2017;  6
ACS;2018; 90
ACS;2019;  9
ACS;2020;  1
AFL;2019; 21
AGCM;2018;  4
AGCM;2019; 36
AGCM;2020;  1
AIR;2019;  1
AJ;2018;  1
AJ;2019;  4
ALA;2019;  1
ALIR;2017;146
ALIR;2018;241
ALIR;2019;303
ALIR;2020; 26
ALO;2019;  1
ALRC;2017; 37
ALRC;2018;  6
ALRC;2019;  3
ALS;2017;  1
ALS;2018; 10
ALS;2019;  5
ALS;2020;  1
ALVS;2018;  2
ALVS;2019;  2
AMB;2018;  4
AMF;2018;  1
AMF;2019;  7
AMG;2019;  1
AMGJ;2019; 39
AMGJ;2020;  1
AMLM;2017;  1
AMLM;2018; 82
AMLM;2019; 27
AMTO;2019;171
AMTO;2020;  1
AMV;2019;  2
AMV;2020; 33
ANRF;2018;  8
ANRF;2019;  7
APAF;2019;  4
APPR;2019; 30
APVB;2018; 44
ARA;2018;  2
ARCL;2019;  8
ASM;2018;  2
ASM;2019; 27
ASM;2020;  1
ASMB;2018;  8
ASP;2018;  9
ASP;2019;  7
ASS;2019;  9
AUSM;2017;  1
AUSM;2018;  3
BAM;2019;  3
BFSO;2020;  1
BSO;2018;248
BSO;2019; 75
BSO;2020;  1
CA;2018;  6
CA;2019;  4
CARB;2017;  1
CARB;2018;  1
CARB;2019;  9
CAS;2018;136
CAS;2019;  7
CAS;2020;  4
CBA;2018;  9
CBA;2019; 10
CBL;2018;  1
CDSM;2019;  3
CGB;2018;  3
CGB;2019; 27
CGSS;2019; 58
CHGS;2019;  3
CHPC;2019;  1
CIM;2019;  8
CJR;2017;  1
CJR;2018;  3
CLC;2017; 77
CLC;2018;  5
CLC;2019; 33
CMC;2018;  2
CMCB;2019;  5
CMO;2017; 16
CMO;2018;  4
CMO;2019; 38
CMS;2019;  1
CNJ;2018; 11
CNJ;2019;  1
COPAP;2018; 39
COPAP;2019;  2
CPS;2018;  4
CPS;2019; 77
CRC;2017; 27
CRC;2018; 95
CRC;2019;146
CRC;2020;  2
CRFS;2018;  4
CRFS;2019;  3
CRN;2017;  2
CRN;2019; 22
CRS;2019;  1
CSMSF;2018;  5
CSMSF;2019;  1
CSOAN;2018; 71
CSOAN;2019;  1
CSS;2017; 28
CSS;2018;143
CSS;2019;  8
DAJ;2018;  1
DAJ;2019;  1
DAO;2018; 12
DAO;2020;  1
DARF;2019;  7
DARF;2020;  1
DAS;2018;  2
DCCP;2017;  1
DCCP;2018;  2
DCCP;2019;  2
DCS;2019; 11
DDR;2019; 52
DF;2019;  1
DFL;2017;  1
DFL;2018; 12
DFL;2019; 26
DHACS;2019;  1
DHM;2017;189
DHM;2018; 96
DHM;2019; 17
DHM;2020; 12
DJV;2018;  8
DLF;2018;  4
DLF;2019;  3
DLF;2020;  3
DLL;2018;  4
DLL;2019;  1
DLM;2018; 38
DLM;2019;  9
DLPL;2017;  3
DLRO;2017;  2
DLRO;2019; 58
DMMV;2018;  4
DMMV;2019; 25
DNF;2018; 10
DNF;2019;  1
DNV;2017; 12
DNV;2019; 34
EAOL;2018; 28
EAOL;2019;509
EAS;2017;  1
EAS;2018;  1
EAS;2019;  4
EBM;2018;  1
EBM;2019;  7
EBS;2018;  3
EBS;2019;  8
EBT;2018;  1
EBT;2019;  2
ECS;2017;  1
EFCC;2019;  1
EJD;2017;  4
EJD;2018; 20
EJD;2019;  3
EMA;2018; 87
EMA;2019; 13
EMA;2020;  1
EMCS;2020;  1
ENV;2019;  9
EOS;2018;  2
EOS;2019;  1
EOS;2020;  1
EOSN;2017;  4
EOSN;2018; 14
EOSN;2019; 40
EOSQ;2019;  1
EPB;2018;  1
ERMJ;2018; 64
ERMJ;2019; 26
ERMJ;2020; 32
ESO;2018;  3
ESO;2019;  1
FABG;2018;  1
FALG;2018; 12
FALG;2019; 22
FALG;2020;  2
FAO;2020;  1
FCGC;2017;  1
FCGC;2018;  7
FCGC;2019;  1
FCL;2019;  5
FCSN;2018;  3
FCSN;2019;  2
FFMCF;2018; 12
FFMCF;2019;  7
FGCF;2018; 10
FGCF;2019;  1
FHF;2019; 28
FHF;2020; 66
FJL;2017;  1
FJL;2018;  4
FJL;2019; 24
FJL;2020;  1
FKA;2019;  1
FKA;2020;  1
FLC;2018;  2
FLPC;2017;  1
FLPC;2018;  3
FLPC;2019;  4
FMCS;2018;  7
FMCS;2019; 77
FMLN;2018;  4
FMLN;2019; 56
FMSC;2018; 10
FMSC;2019; 11
FNTD;2018;  3
FRBP;2019; 44
FTF;2018;  2
FVBC;2018; 19
FVBC;2019; 34
GECD;2018;  2
GECD;2019;  1
GECD;2020;  1
GHSM;2017;  1
GJDB;2018;  1
GMP;2018;  4
GMP;2019;  1
GMR;2018;  1
GMR;2019;  1
GMS;2019;222
GMS;2020;  2
GMSR;2020;  1
GPO;2018;  2
GPO;2019;  1
GPO;2020;  7
GSALGC;2018;  5
GSM;2017;  9
GSM;2018; 15
GSM;2019;  6
HAFF;2018;  2
HAFF;2019;  2
HDMB;2019;  1
HFCM;2017;  4
HFCM;2018; 26
HFCM;2019; 13
HGSD;2019;  1
HMC;2018;  3
HMC;2019;  1
HMMRP;2020;  1
HMS;2019;  1
HVM;2017;  8
HVM;2018; 22
HVM;2019; 58
HVM;2020; 14
IAMS;2017; 40
IAMS;2018;  7
IAMS;2019;  1
ICAT;2018;  4
ICL;2017;  1
ICL;2018;  4
ICL;2019;  6
ICMO;2019; 60
ICMO;2020;  1
IDF;2018; 34
IDF;2019; 22
IFS;2017;  2
IFS;2019;  1
IMR;2019;  6
IMS;2017;  1
IMS;2018; 11
IMS;2019;  9
IMS;2020;  1
IPABP;2018;  2
IPABP;2019;  1
ISVF;2018; 14
ISVF;2019;142
ISVF;2020;  1
JAC;2017;110
JAC;2018;  9
JAC;2019; 10
JAPF;2017;  1
JAPF;2019;  2
JAVFF;2019; 50
JBS;2019;  6
JCAL;2019;  1
JCSG;2018;  1
JGM;2018; 38
JLB;2018; 60
JLB;2019;  5
JLB;2020;  1
JLMJ;2019;  1
JLMJ;2020;  1
JLPC;2020;  1
JLRP;2018; 37
JLRP;2019; 11
JLRP;2020;  1
JLSA;2020;  3
JNS;2018; 60
JPAG;2018; 28
JPAG;2019;  1
JPRS;2019;  1
JR;2018;  1
JR;2019;  1
JRAJ;2017;  4
JRAJ;2018; 12
JRAJ;2019;  1
JRAO;2017;  2
JRSR;2018; 13
JRSR;2019;  5
JSA;2020;  2
JSG;2019;  1
JSG;2020; 27
JSGM;2018;  2
JSN;2018;  1
JSN;2019;  2
JTMS;2019;  6
JVSPM;2018; 49
JVSPM;2019; 12
KAS;2018;  4
KCB;2019;267
KF;2018;  8
KF;2019;  1
KVCF;2018;  7
LAAL;2019; 62
LAB;2018;  1
LAO;2018;  1
LAO;2020;  1
LAS;2019; 37
LAS;2020;  1
LBR;2018;  3
LBR;2019;  5
LCBL;2018; 44
LCBL;2019; 10
LCCS;2017; 27
LCCS;2018;261
LCCS;2019;995
LCCS;2020;182
LD;2018;  1
LEGB;2017; 72
LEGB;2018;  4
LEGB;2019; 32
LEGB;2020;  1
LFRT;2019;  1
LFS;2018; 28
LFS;2019; 12
LGSRB;2018; 13
LGSRB;2019; 12
LL;2017; 34
LL;2018; 41
LL;2019; 23
LMA;2018; 50
LMA;2019;  4
LMI;2018;  1
LMI;2019;  1
LMI;2020; 25
LML;2018; 40
LML;2019;  4
LMV;2018;  1
LRBL;2019; 27
LRCM;2017; 16
LRCM;2018;  4
LRCM;2019; 16
LRCM;2020;  1
LSF;2017;  2
LSF;2018; 10
LSF;2019; 20
LSF;2020;  1
LSZ;2018;  7
LSZ;2019; 28
MAB;2017; 35
MAB;2018; 70
MAB;2019;110
MAB;2020;  2
MACA;2018;  5
MACA;2019; 35
MACA;2020;  1
MACGV;2019;  1
MACS;2019;  3
MAG;2018;  1
MAG;2019; 40
MAG;2020;  1
MALA;2019;  2
MAM;2018; 21
MAM;2019;  9
MAO;2019;219
MAPE;2017;  1
MAPE;2018;  3
MAPE;2019;  1
MAR;2019;  1
Marcio Guillardi da Silva;2018;  4
Marcio Guillardi da Silva;2019; 11
MBGB;2017;  1
MBGB;2018;  3
MBGB;2019;  1
MCA;2018;  4
MCA;2019; 38
MCB;2019;  3
MCM;2017; 96
MCM;2018;183
MCM;2019;317
MCM;2020;  1
MCSNC;2019;  4
MFB;2019; 28
MFB;2020;  1
MGA;2018;  3
MGA;2019;  5
MGMS;2019;  1
MGMS;2020;  1
MGS;2019;  1
MGS;2020;  3
MIB;2019;  3
MIFT;2019;  4
MJDF;2017;  1
MJSN;2018;  1
MJSN;2020;  1
MKS;2017;  2
MKS;2018; 13
MKS;2019; 10
